target	pattern_matching_similarity	histogram_similarity	matching_top_left	matching_bottom_right
Gdi32_Magneto_DEFAULT_CHARSET.png	0.9855115413665771	1.0	(31, 19)	(80, 38)
Gdi32_Maiandra GD_DEFAULT_CHARSET.png	1.0	1.0	(26, 19)	(65, 37)
Gdi32_Malgun Gothic Semilight_SHIFTJIS_CHARSET.png	1.0	1.0	(25, 20)	(62, 40)
Gdi32_Malgun Gothic_DEFAULT_CHARSET.png	1.0	1.0	(26, 20)	(65, 40)
Gdi32_Marlett_SYMBOL_CHARSET.png	0.846966028213501	1.0	(42, 17)	(113, 32)
Gdi32_Matura MT Script Capitals_DEFAULT_CHARSET.png	1.0	1.0	(26, 20)	(65, 40)
Gdi32_Meiryo UI_SHIFTJIS_CHARSET.png	1.0	1.0	(27, 20)	(67, 40)
Gdi32_Microsoft Himalaya_DEFAULT_CHARSET.png	1.0	1.0	(19, 17)	(44, 32)
Gdi32_Microsoft JhengHei Light_DEFAULT_CHARSET.png	1.0	1.0	(25, 19)	(62, 39)
Gdi32_Microsoft JhengHei UI Light_DEFAULT_CHARSET.png	1.0	1.0	(25, 20)	(62, 40)
Gdi32_Microsoft JhengHei UI_DEFAULT_CHARSET.png	1.0	1.0	(26, 20)	(65, 40)
Gdi32_Microsoft JhengHei_DEFAULT_CHARSET.png	1.0	1.0	(26, 19)	(65, 39)
Gdi32_Microsoft New Tai Lue_DEFAULT_CHARSET.png	0.9999998807907104	1.0	(26, 20)	(65, 40)
Gdi32_Microsoft PhagsPa_DEFAULT_CHARSET.png	1.0	1.0	(26, 20)	(65, 40)
Gdi32_Microsoft Sans Serif_DEFAULT_CHARSET.png	1.0	1.0	(25, 18)	(62, 35)
Gdi32_Microsoft Tai Le_DEFAULT_CHARSET.png	0.9999998807907104	1.0	(26, 20)	(65, 40)
Gdi32_Microsoft YaHei Light_DEFAULT_CHARSET.png	1.0	1.0	(25, 20)	(62, 40)
Gdi32_Microsoft YaHei UI Light_DEFAULT_CHARSET.png	1.0	1.0	(25, 20)	(62, 40)
Gdi32_Microsoft YaHei UI_DEFAULT_CHARSET.png	1.0	1.0	(28, 20)	(70, 40)
Gdi32_Microsoft YaHei_DEFAULT_CHARSET.png	1.0	1.0	(28, 20)	(70, 40)
Gdi32_Microsoft Yi Baiti_DEFAULT_CHARSET.png	1.0	1.0	(21, 17)	(50, 32)
Gdi32_MingLiU-ExtB_DEFAULT_CHARSET.png	1.0	1.0	(28, 17)	(71, 32)
Gdi32_MingLiU_HKSCS-ExtB_DEFAULT_CHARSET.png	1.0	1.0	(28, 17)	(71, 32)
Gdi32_MingLiU_MSCS-ExtB_DEFAULT_CHARSET.png	1.0	1.0	(28, 17)	(71, 32)
Gdi32_Miriam CLM_DEFAULT_CHARSET.png	0.5913167595863342	1.0	(25, 19)	(62, 36)
Gdi32_Miriam Libre_DEFAULT_CHARSET.png	1.0	1.0	(26, 20)	(65, 40)
Gdi32_Miriam Mono CLM_HEBREW_CHARSET.png	1.0	1.0	(31, 18)	(79, 35)
Gdi32_Mistral_DEFAULT_CHARSET.png	0.9999998807907104	1.0	(21, 19)	(49, 38)
Gdi32_Modern No. 20_DEFAULT_CHARSET.png	1.0	1.0	(26, 18)	(64, 34)
Gdi32_Mongolian Baiti_DEFAULT_CHARSET.png	1.0	1.0	(25, 18)	(62, 34)
Gdi32_Monotype Corsiva_DEFAULT_CHARSET.png	1.0	1.0	(23, 18)	(56, 35)
Gdi32_MS Outlook_SYMBOL_CHARSET.png	1.0	1.0	(28, 18)	(71, 34)
Gdi32_MS Reference Sans Serif_DEFAULT_CHARSET.png	1.0	1.0	(26, 19)	(65, 38)
Gdi32_MS Reference Specialty_SYMBOL_CHARSET.png	1.0	1.0	(45, 19)	(121, 38)
Gdi32_MS UI Gothic_SHIFTJIS_CHARSET.png	1.0	1.0	(24, 17)	(59, 32)
Gdi32_MT Extra_SYMBOL_CHARSET.png	1.0	1.0	(25, 18)	(62, 34)
Gdi32_MV Boli_DEFAULT_CHARSET.png	0.9999999403953552	1.0	(25, 21)	(62, 46)
Gdi32_Myanmar Text_DEFAULT_CHARSET.png	1.0	1.0	(26, 24)	(65, 52)
Gdi32_Nachlieli CLM_DEFAULT_CHARSET.png	0.8547818064689636	1.0	(24, 19)	(59, 36)
Gdi32_Niagara Engraved_DEFAULT_CHARSET.png	1.0	1.0	(17, 18)	(37, 34)
Gdi32_Niagara Solid_DEFAULT_CHARSET.png	1.0	1.0	(16, 18)	(35, 34)
Gdi32_Nirmala Text Semilight_DEFAULT_CHARSET.png	1.0	1.0	(25, 17)	(61, 32)
Gdi32_Nirmala Text_DEFAULT_CHARSET.png	1.0	1.0	(26, 17)	(65, 32)
Gdi32_Nirmala UI Semilight_DEFAULT_CHARSET.png	1.0	1.0	(25, 20)	(61, 40)
Gdi32_Nirmala UI_DEFAULT_CHARSET.png	1.0	1.0	(26, 20)	(65, 40)
Gdi32_Noto Kufi Arabic_DEFAULT_CHARSET.png	1.0	1.0	(26, 28)	(65, 57)
Gdi32_Noto Naskh Arabic_DEFAULT_CHARSET.png	0.9999998807907104	1.0	(28, 28)	(70, 54)
Gdi32_Noto Sans Arabic_ARABIC_CHARSET.png	0.4975889325141907	1.0	(30, 24)	(72, 56)
Gdi32_Noto Sans Armenian_DEFAULT_CHARSET.png	1.0	1.0	(26, 20)	(65, 41)
Gdi32_Noto Sans Georgian Bold_DEFAULT_CHARSET.png	1.0	1.0	(27, 20)	(67, 41)
Gdi32_Noto Sans Georgian_DEFAULT_CHARSET.png	1.0	1.0	(26, 20)	(65, 41)
Gdi32_Noto Sans Hebrew_DEFAULT_CHARSET.png	1.0	1.0	(27, 20)	(67, 41)
Gdi32_Noto Sans JP Black_SHIFTJIS_CHARSET.png	0.9999999403953552	1.0	(29, 21)	(73, 43)
Gdi32_Noto Sans JP DemiLight_SHIFTJIS_CHARSET.png	1.0	1.0	(26, 21)	(65, 43)
Gdi32_Noto Sans JP Light_SHIFTJIS_CHARSET.png	1.0	1.0	(26, 21)	(65, 43)
Gdi32_Noto Sans JP Medium_SHIFTJIS_CHARSET.png	1.0	1.0	(26, 21)	(65, 43)
Gdi32_Noto Sans JP Thin_SHIFTJIS_CHARSET.png	0.4018325209617615	1.0	(27, 21)	(65, 43)
Gdi32_Noto Sans JP_SHIFTJIS_CHARSET.png	1.0	1.0	(26, 21)	(65, 43)
Gdi32_Noto Sans KR Black_SHIFTJIS_CHARSET.png	0.9999999403953552	1.0	(29, 21)	(73, 43)
Gdi32_Noto Sans KR DemiLight_SHIFTJIS_CHARSET.png	1.0	1.0	(26, 21)	(65, 43)
Gdi32_Noto Sans KR Light_SHIFTJIS_CHARSET.png	1.0	1.0	(26, 21)	(65, 43)
Gdi32_Noto Sans KR Medium_SHIFTJIS_CHARSET.png	1.0	1.0	(26, 21)	(65, 43)
Gdi32_Noto Sans KR Thin_SHIFTJIS_CHARSET.png	0.4018325209617615	1.0	(27, 21)	(65, 43)
Gdi32_Noto Sans KR_SHIFTJIS_CHARSET.png	1.0	1.0	(26, 21)	(65, 43)
Gdi32_Noto Sans Lao_DEFAULT_CHARSET.png	1.0	1.0	(26, 22)	(65, 47)
Gdi32_Noto Sans Lisu_DEFAULT_CHARSET.png	1.0	1.0	(26, 20)	(65, 41)
Gdi32_Noto Sans SC Black_SHIFTJIS_CHARSET.png	0.9999999403953552	1.0	(29, 21)	(73, 43)
Gdi32_Noto Sans SC DemiLight_SHIFTJIS_CHARSET.png	1.0	1.0	(26, 21)	(65, 43)
Gdi32_Noto Sans SC Light_SHIFTJIS_CHARSET.png	1.0	1.0	(26, 21)	(65, 43)
Gdi32_Noto Sans SC Medium_SHIFTJIS_CHARSET.png	1.0	1.0	(26, 21)	(65, 43)
Gdi32_Noto Sans SC Thin_SHIFTJIS_CHARSET.png	0.4018325209617615	1.0	(27, 21)	(65, 43)
Gdi32_Noto Sans SC_SHIFTJIS_CHARSET.png	1.0	1.0	(26, 21)	(65, 43)
Gdi32_Noto Sans_DEFAULT_CHARSET.png	1.0	1.0	(26, 21)	(65, 42)
Gdi32_Noto Serif Armenian_DEFAULT_CHARSET.png	1.0	1.0	(28, 20)	(70, 41)
Gdi32_Noto Serif Georgian_DEFAULT_CHARSET.png	1.0	1.0	(28, 20)	(70, 41)
Gdi32_Noto Serif Hebrew_DEFAULT_CHARSET.png	1.0	1.0	(28, 21)	(70, 39)
Gdi32_Noto Serif JP Black_SHIFTJIS_CHARSET.png	1.0	1.0	(29, 21)	(74, 43)
Gdi32_Noto Serif JP ExtraLight_SHIFTJIS_CHARSET.png	0.4204593598842621	1.0	(29, 21)	(72, 43)
Gdi32_Noto Serif JP Light_SHIFTJIS_CHARSET.png	0.9999999403953552	1.0	(28, 21)	(71, 43)
Gdi32_Noto Serif JP Medium_SHIFTJIS_CHARSET.png	1.0	1.0	(28, 21)	(71, 43)
Gdi32_Noto Serif JP SemiBold_SHIFTJIS_CHARSET.png	0.9999998807907104	1.0	(28, 21)	(71, 43)
Gdi32_Noto Serif JP_SHIFTJIS_CHARSET.png	0.9999998807907104	1.0	(28, 21)	(71, 43)
Gdi32_Noto Serif KR Black_SHIFTJIS_CHARSET.png	1.0	1.0	(29, 21)	(74, 43)
Gdi32_Noto Serif KR ExtraLight_SHIFTJIS_CHARSET.png	0.4204593598842621	1.0	(29, 21)	(72, 43)
Gdi32_Noto Serif KR Light_SHIFTJIS_CHARSET.png	0.9999999403953552	1.0	(28, 21)	(71, 43)
Gdi32_Noto Serif KR Medium_SHIFTJIS_CHARSET.png	1.0	1.0	(28, 21)	(71, 43)
Gdi32_Noto Serif KR SemiBold_SHIFTJIS_CHARSET.png	0.9999998807907104	1.0	(28, 21)	(71, 43)
Gdi32_Noto Serif KR_SHIFTJIS_CHARSET.png	0.9999998807907104	1.0	(28, 21)	(71, 43)
Gdi32_Noto Serif Lao_DEFAULT_CHARSET.png	1.0	1.0	(28, 22)	(70, 47)
Gdi32_Noto Serif SC Black_SHIFTJIS_CHARSET.png	1.0	1.0	(29, 21)	(74, 43)
Gdi32_Noto Serif SC ExtraLight_SHIFTJIS_CHARSET.png	0.4204593598842621	1.0	(29, 21)	(72, 43)
Gdi32_Noto Serif SC Light_SHIFTJIS_CHARSET.png	0.9999999403953552	1.0	(28, 21)	(71, 43)
Gdi32_Noto Serif SC Medium_SHIFTJIS_CHARSET.png	1.0	1.0	(28, 21)	(71, 43)
Gdi32_Noto Serif SC SemiBold_SHIFTJIS_CHARSET.png	0.9999998807907104	1.0	(28, 21)	(71, 43)
Gdi32_Noto Serif SC_SHIFTJIS_CHARSET.png	0.9999998807907104	1.0	(28, 21)	(71, 43)
Gdi32_Noto Serif_DEFAULT_CHARSET.png	0.9999998807907104	1.0	(28, 20)	(70, 41)
Gdi32_NSimSun_DEFAULT_CHARSET.png	0.63150954246521	1.0	(29, 17)	(71, 32)
Gdi32_OCR A Extended_DEFAULT_CHARSET.png	0.856662929058075	1.0	(32, 18)	(82, 34)
Gdi32_OCRB_DEFAULT_CHARSET.png	0.8493632078170776	1.0	(31, 17)	(80, 31)
Gdi32_Old English Text MT_DEFAULT_CHARSET.png	1.0	1.0	(25, 19)	(61, 38)
Gdi32_Onyx_DEFAULT_CHARSET.png	1.0	1.0	(17, 19)	(37, 37)
Gdi32_OpenSymbol_DEFAULT_CHARSET.png	0.32337501645088196	0.9952249532117052	(6, 22)	(34, 36)
Gdi32_Palace Script MT_DEFAULT_CHARSET.png	1.0	1.0	(18, 17)	(41, 31)
Gdi32_Palatino Linotype_DEFAULT_CHARSET.png	1.0	1.0	(26, 20)	(64, 41)
Gdi32_Papyrus_DEFAULT_CHARSET.png	1.0	1.0	(27, 22)	(67, 46)
Gdi32_Parchment_DEFAULT_CHARSET.png	1.0	1.0	(18, 18)	(41, 34)
Gdi32_Perpetua Titling MT_DEFAULT_CHARSET.png	1.0	1.0	(33, 19)	(85, 37)
Gdi32_Perpetua_DEFAULT_CHARSET.png	1.0	1.0	(24, 19)	(58, 37)
Gdi32_Playbill_DEFAULT_CHARSET.png	0.9999998807907104	1.0	(17, 18)	(37, 34)
Gdi32_PMingLiU-ExtB_DEFAULT_CHARSET.png	1.0	1.0	(24, 17)	(58, 32)
Gdi32_Poor Richard_DEFAULT_CHARSET.png	1.0	1.0	(24, 18)	(59, 35)
Gdi32_Pristina_DEFAULT_CHARSET.png	1.0	1.0	(20, 20)	(47, 40)
Gdi32_Rage Italic_DEFAULT_CHARSET.png	0.9736306071281433	1.0	(22, 19)	(53, 38)
Gdi32_Ravie_DEFAULT_CHARSET.png	0.9974934458732605	1.0	(32, 20)	(83, 40)
Gdi32_Reem Kufi_DEFAULT_CHARSET.png	1.0	1.0	(26, 26)	(65, 49)
Gdi32_Rockwell Condensed_DEFAULT_CHARSET.png	1.0	1.0	(20, 19)	(46, 37)
Gdi32_Rockwell Extra Bold_DEFAULT_CHARSET.png	1.0	1.0	(31, 19)	(80, 37)
Gdi32_Rockwell_DEFAULT_CHARSET.png	1.0	1.0	(28, 19)	(70, 37)
Gdi32_ROMANS_DEFAULT_CHARSET.png	1.0	1.0	(33, 19)	(85, 38)
Gdi32_Rubik_DEFAULT_CHARSET.png	1.0	1.0	(26, 19)	(65, 37)
Gdi32_Sans Serif Collection_DEFAULT_CHARSET.png	1.0	1.0	(26, 31)	(65, 71)
Gdi32_Scheherazade_DEFAULT_CHARSET.png	0.9999998807907104	1.0	(21, 23)	(49, 49)
Gdi32_Script MT Bold_DEFAULT_CHARSET.png	1.0	1.0	(26, 19)	(64, 38)
Gdi32_Segoe Fluent Icons_DEFAULT_CHARSET.png	0.21585720777511597	1.0	(23, 12)	(76, 27)
Gdi32_Segoe MDL2 Assets_DEFAULT_CHARSET.png	0.21585720777511597	1.0	(23, 12)	(76, 27)
Gdi32_Segoe Print_DEFAULT_CHARSET.png	1.0	1.0	(26, 23)	(65, 50)
Gdi32_Segoe Script_DEFAULT_CHARSET.png	1.0	1.0	(29, 22)	(73, 46)
Gdi32_Segoe UI Black_DEFAULT_CHARSET.png	1.0	1.0	(28, 20)	(71, 40)
Gdi32_Segoe UI Emoji_DEFAULT_CHARSET.png	1.0	1.0	(26, 20)	(65, 40)
Gdi32_Segoe UI Historic_DEFAULT_CHARSET.png	1.0	1.0	(26, 20)	(65, 40)
Gdi32_Segoe UI Light_DEFAULT_CHARSET.png	1.0	1.0	(24, 20)	(59, 40)
Gdi32_Segoe UI Semibold_DEFAULT_CHARSET.png	1.0	1.0	(26, 20)	(65, 40)
Gdi32_Segoe UI Semilight_DEFAULT_CHARSET.png	1.0	1.0	(25, 20)	(61, 40)
Gdi32_Segoe UI Symbol_DEFAULT_CHARSET.png	1.0	1.0	(26, 20)	(65, 40)
Gdi32_Segoe UI Variable Display Light_DEFAULT_CHARSET.png	1.0	1.0	(24, 20)	(58, 40)
Gdi32_Segoe UI Variable Display Semib_DEFAULT_CHARSET.png	1.0	1.0	(26, 20)	(65, 40)
Gdi32_Segoe UI Variable Display Semil_DEFAULT_CHARSET.png	1.0	1.0	(24, 20)	(59, 40)
Gdi32_Segoe UI Variable Display_DEFAULT_CHARSET.png	1.0	1.0	(25, 20)	(62, 40)
Gdi32_Segoe UI Variable Small Light_DEFAULT_CHARSET.png	0.750845730304718	1.0	(24, 20)	(61, 40)
Gdi32_Segoe UI Variable Small Semibol_DEFAULT_CHARSET.png	1.0	1.0	(26, 20)	(65, 40)
Gdi32_Segoe UI Variable Small Semilig_DEFAULT_CHARSET.png	1.0	1.0	(26, 20)	(65, 40)
Gdi32_Segoe UI Variable Small_DEFAULT_CHARSET.png	1.0	1.0	(26, 20)	(65, 40)
Gdi32_Segoe UI Variable Text Light_DEFAULT_CHARSET.png	1.0	1.0	(24, 20)	(59, 40)
Gdi32_Segoe UI Variable Text Semibold_DEFAULT_CHARSET.png	1.0	1.0	(26, 20)	(65, 40)
Gdi32_Segoe UI Variable Text Semiligh_DEFAULT_CHARSET.png	1.0	1.0	(25, 20)	(61, 40)
Gdi32_Segoe UI Variable Text_DEFAULT_CHARSET.png	1.0	1.0	(26, 20)	(65, 40)
Gdi32_Segoe UI_DEFAULT_CHARSET.png	1.0	1.0	(26, 20)	(65, 40)
Gdi32_Showcard Gothic_DEFAULT_CHARSET.png	0.9999999403953552	1.0	(32, 18)	(83, 37)
Gdi32_SimHei_DEFAULT_CHARSET.png	0.6123770475387573	1.0	(29, 17)	(71, 32)
Gdi32_SimSun-ExtB_DEFAULT_CHARSET.png	0.6054226160049438	1.0	(29, 17)	(71, 32)
Gdi32_SimSun-ExtG_DEFAULT_CHARSET.png	0.622251033782959	1.0	(29, 17)	(71, 32)
Gdi32_SimSun_DEFAULT_CHARSET.png	1.0	1.0	(28, 17)	(71, 32)
Gdi32_Sitka Banner Semibold_DEFAULT_CHARSET.png	1.0	1.0	(24, 23)	(58, 38)
Gdi32_Sitka Banner_DEFAULT_CHARSET.png	1.0	1.0	(23, 23)	(55, 38)
Gdi32_Sitka Display Semibold_DEFAULT_CHARSET.png	1.0	1.0	(24, 23)	(59, 38)
Gdi32_Sitka Display_DEFAULT_CHARSET.png	1.0	1.0	(24, 23)	(58, 38)
Gdi32_Sitka Heading Semibold_DEFAULT_CHARSET.png	1.0	1.0	(25, 23)	(62, 38)
Gdi32_Sitka Heading_DEFAULT_CHARSET.png	1.0	1.0	(24, 23)	(59, 38)
Gdi32_Sitka Small Semibold_DEFAULT_CHARSET.png	1.0	0.9989681888028072	(30, 23)	(76, 38)
Gdi32_Sitka Small_DEFAULT_CHARSET.png	1.0	0.9993472492424194	(28, 23)	(71, 38)
Gdi32_Sitka Subheading Semibold_DEFAULT_CHARSET.png	1.0	1.0	(26, 23)	(65, 38)
Gdi32_Sitka Subheading_DEFAULT_CHARSET.png	1.0	1.0	(25, 23)	(62, 38)
Gdi32_Sitka Text Semibold_DEFAULT_CHARSET.png	1.0	1.0	(28, 23)	(70, 38)
Gdi32_Sitka Text_DEFAULT_CHARSET.png	0.8045137524604797	1.0	(26, 23)	(67, 38)
Gdi32_Snap ITC_DEFAULT_CHARSET.png	1.0	1.0	(30, 20)	(76, 40)
Gdi32_Stencil_DEFAULT_CHARSET.png	1.0	1.0	(31, 19)	(80, 37)
Gdi32_Swiss742 SWC_DEFAULT_CHARSET.png	1.0	1.0	(26, 19)	(65, 38)
Gdi32_Sylfaen_DEFAULT_CHARSET.png	1.0	1.0	(24, 20)	(59, 40)
Gdi32_Symbol_SYMBOL_CHARSET.png	1.0	1.0	(30, 19)	(76, 38)
Gdi32_Tahoma_DEFAULT_CHARSET.png	0.9999998807907104	1.0	(23, 19)	(56, 38)
Gdi32_Tempus Sans ITC_DEFAULT_CHARSET.png	1.0	1.0	(26, 20)	(65, 40)
Gdi32_Tera Special_SYMBOL_CHARSET.png	1.0	0.9984597072991479	(26, 17)	(64, 32)
Gdi32_Times New Roman_DEFAULT_CHARSET.png	1.0	1.0	(24, 18)	(58, 35)
Gdi32_Trebuchet MS_DEFAULT_CHARSET.png	1.0	1.0	(24, 19)	(59, 37)
Gdi32_Tw Cen MT Condensed Extra Bold_DEFAULT_CHARSET.png	1.0	1.0	(23, 18)	(56, 35)
Gdi32_Tw Cen MT Condensed_DEFAULT_CHARSET.png	1.0	1.0	(19, 18)	(44, 34)
Gdi32_Tw Cen MT_DEFAULT_CHARSET.png	1.0	1.0	(24, 18)	(58, 35)
Gdi32_UD ÉfÉWÉ^Éã ã≥â»èëëÃ NK_SHIFTJIS_CHARSET.png	1.0	1.0	(27, 19)	(67, 37)
Gdi32_UD ÉfÉWÉ^Éã ã≥â»èëëÃ NP_SHIFTJIS_CHARSET.png	1.0	1.0	(27, 19)	(67, 37)
Gdi32_UD ÉfÉWÉ^Éã ã≥â»èëëÃ N_SHIFTJIS_CHARSET.png	0.5786288976669312	1.0	(29, 19)	(71, 37)
Gdi32_Verdana_DEFAULT_CHARSET.png	1.0	1.0	(26, 19)	(65, 38)
Gdi32_Viner Hand ITC_DEFAULT_CHARSET.png	1.0	1.0	(26, 22)	(65, 47)
Gdi32_Vivaldi_DEFAULT_CHARSET.png	0.9999998211860657	1.0	(25, 19)	(62, 37)
Gdi32_Vladimir Script_DEFAULT_CHARSET.png	0.9831914901733398	1.0	(23, 19)	(55, 38)
Gdi32_Webdings_SYMBOL_CHARSET.png	1.0	1.0	(46, 17)	(124, 32)
Gdi32_Wide Latin_DEFAULT_CHARSET.png	1.0	1.0	(43, 19)	(116, 38)
Gdi32_Wingdings 2_SYMBOL_CHARSET.png	1.0	1.0	(39, 18)	(104, 34)
Gdi32_Wingdings 3_SYMBOL_CHARSET.png	1.0	1.0	(37, 19)	(98, 37)
Gdi32_Wingdings_SYMBOL_CHARSET.png	0.9999999403953552	1.0	(37, 18)	(98, 35)
Gdi32_Yu Gothic UI Light_SHIFTJIS_CHARSET.png	1.0	1.0	(24, 20)	(59, 40)
Gdi32_Yu Gothic UI Semibold_SHIFTJIS_CHARSET.png	1.0	1.0	(26, 20)	(65, 40)
Gdi32_Yu Gothic UI Semilight_SHIFTJIS_CHARSET.png	1.0	1.0	(25, 20)	(61, 40)
Gdi32_Yu Gothic UI_SHIFTJIS_CHARSET.png	1.0	1.0	(26, 20)	(65, 40)
Gdi32_ÉÅÉCÉäÉI_SHIFTJIS_CHARSET.png	1.0	1.0	(27, 21)	(67, 44)
Gdi32_ü‡ÉSÉVÉbÉN Light_SHIFTJIS_CHARSET.png	1.0	1.0	(25, 20)	(61, 40)
Gdi32_ü‡ÉSÉVÉbÉN Medium_SHIFTJIS_CHARSET.png	1.0	1.0	(26, 20)	(64, 40)
Gdi32_ü‡ÉSÉVÉbÉN_SHIFTJIS_CHARSET.png	1.0	1.0	(26, 20)	(64, 40)
Gdi32_ü‡ñæí© Demibold_SHIFTJIS_CHARSET.png	1.0	1.0	(26, 20)	(65, 40)
Gdi32_ü‡ñæí© Light_SHIFTJIS_CHARSET.png	1.0	1.0	(26, 20)	(64, 40)
Gdi32_ü‡ñæí©_SHIFTJIS_CHARSET.png	1.0	1.0	(26, 20)	(64, 40)
Gdi32_ÇlÇr ÉSÉVÉbÉN_SHIFTJIS_CHARSET.png	0.5324832797050476	1.0	(29, 17)	(71, 32)
Gdi32_ÇlÇr ñæí©_SHIFTJIS_CHARSET.png	0.5599161982536316	1.0	(29, 17)	(71, 32)
Gdi32_ÇlÇr ÇoÉSÉVÉbÉN_SHIFTJIS_CHARSET.png	1.0	1.0	(24, 17)	(59, 32)
Gdi32_ÇlÇr Çoñæí©_SHIFTJIS_CHARSET.png	1.0	1.0	(25, 17)	(62, 32)
